time,away,full_name,fumbles_lost,home,homeaway,player_id,position,receiving_rec,receiving_tar,receiving_tds,receiving_yds,rushing_att,rushing_tds,rushing_yds,team,week,year
715,PHI,Shaun Draughn,0,CLE,1,00-0028202,RB,2,2,0,12,6,60,29,CLE,1,2012
715,PIT,DeAngelo Williams,0,DEN,0,00-0024242,RB,1,1,0,5,6,0,-1,PIT,1,2012
715,STL,Joique Bell,0,DET,1,00-0027218,RB,0,0,0,0,1,60,1,DET,1,2012
715,CIN,Cedric Peerman,0,BAL,0,00-0026932,RB,0,0,0,0,3,0,22,CIN,1,2012
715,SD,Taiwan Jones,0,OAK,1,00-0028063,RB,0,0,0,0,0,0,0,OAK,1,2012
715,WAS,Alfred Morris,0,NO,0,00-0029141,RB,0,0,0,0,28,120,96,WAS,1,2012
715,PHI,Robert Turbin,0,CLE,1,00-0029273,RB,1,1,0,2,2,0,5,CLE,1,2012
715,DAL,Darren McFadden,0,NYG,0,00-0026144,RB,13,18,0,86,15,0,32,DAL,1,2012
715,IND,Matt Forte,0,CHI,1,00-0026184,RB,3,6,0,40,16,60,80,CHI,1,2012
715,JAC,Matt Asiata,0,MIN,1,00-0028198,RB,1,1,0,2,0,0,0,MIN,1,2012
715,SD,Danny Woodhead,0,OAK,0,00-0026019,RB,0,0,0,0,6,0,20,SD,1,2012
715,BUF,LeSean McCoy,1,NYJ,0,00-0027029,RB,6,9,0,26,20,0,110,BUF,1,2012
715,CAR,Doug Martin,0,TB,1,00-0029613,RB,4,4,0,23,24,0,95,TB,1,2012
715,NE,Dexter McCluster,0,TEN,1,00-0027651,RB,6,10,0,82,0,0,0,TEN,1,2012
715,BUF,Stevan Ridley,0,NYJ,1,00-0028011,RB,2,3,0,27,21,60,125,NYJ,1,2012
715,ATL,Jamaal Charles,0,KC,1,00-0026213,RB,0,0,0,0,16,0,87,KC,1,2012
715,SD,Donald Brown,0,OAK,0,00-0027003,RB,0,2,0,0,9,60,48,SD,1,2012
715,NE,Travaris Cadet,0,TEN,0,00-0029205,RB,0,0,0,0,0,0,0,NE,1,2012
715,SEA,Fred Jackson,0,ARI,0,00-0024204,RB,0,0,0,0,6,0,15,SEA,1,2012
715,PHI,DeMarco Murray,0,CLE,0,00-0028009,RB,2,2,0,9,20,0,131,PHI,1,2012
715,BUF,Bilal Powell,0,NYJ,1,00-0028064,RB,1,1,0,16,3,0,10,NYJ,1,2012
715,DAL,Rashad Jennings,0,NYG,1,00-0027155,RB,1,1,0,9,8,0,31,NYG,1,2012
715,IND,Frank Gore,0,CHI,0,00-0023500,RB,1,1,0,1,16,60,112,IND,1,2012
715,SEA,Marshawn Lynch,0,ARI,0,00-0025399,RB,2,2,0,12,21,0,85,SEA,1,2012
715,PHI,Darren Sproles,0,CLE,0,00-0023564,RB,5,8,60,35,0,0,0,PHI,1,2012
715,SEA,Chris Johnson,0,ARI,1,00-0026164,RB,6,7,0,47,11,0,4,ARI,1,2012
715,JAC,Adrian Peterson,0,MIN,1,00-0025394,RB,1,1,0,3,17,120,84,MIN,1,2012
715,SF,Reggie Bush,0,GB,0,00-0024217,RB,6,6,0,46,14,0,69,SF,1,2012
715,STL,Isaiah Pead,0,DET,0,00-0029626,RB,0,0,0,0,0,0,0,STL,1,2012
715,WAS,Mark Ingram,0,NO,1,00-0027966,RB,0,1,0,0,6,0,15,NO,1,2012
715,JAC,Toby Gerhart,0,MIN,0,00-0027888,RB,1,1,0,8,6,0,18,JAC,1,2012
715,JAC,Bernard Pierce,0,MIN,0,00-0029264,RB,0,0,0,0,4,0,19,JAC,1,2012
715,NE,Brandon Bolden,0,TEN,0,00-0029239,RB,0,0,0,0,5,0,11,NE,1,2012
715,IND,Jacquizz Rodgers,0,CHI,1,00-0028083,RB,2,2,0,13,7,0,22,CHI,1,2012
715,WAS,C.J. Spiller,1,NO,1,00-0027861,RB,2,3,0,25,14,60,169,NO,1,2012
715,NE,LeGarrette Blount,0,TEN,0,00-0027325,RB,1,1,0,2,3,0,8,NE,1,2012
715,MIA,Arian Foster,0,HOU,1,00-0026796,RB,1,3,0,-4,26,120,79,HOU,1,2012
715,SD,Roy Helu,0,OAK,1,00-0028043,RB,3,3,0,25,2,0,2,OAK,1,2012
