,name,pts,source,week,year
0,Adrian Peterson,15.7,ESPN,1,2015
1,Eddie Lacy,14.8,ESPN,1,2015
2,LeSean McCoy,14.8,ESPN,1,2015
3,Marshawn Lynch,14.8,ESPN,1,2015
4,Jeremy Hill,14.6,ESPN,1,2015
5,C.J. Anderson,13.9,ESPN,1,2015
6,DeMarco Murray,13.8,ESPN,1,2015
7,Jamaal Charles,13.7,ESPN,1,2015
8,Mark Ingram,11.4,ESPN,1,2015
9,Lamar Miller,11.2,ESPN,1,2015
10,Carlos Hyde,10.5,ESPN,1,2015
11,Chris Ivory,10.4,ESPN,1,2015
12,Jonathan Stewart,10.1,ESPN,1,2015
13,Andre Ellington,9.9,ESPN,1,2015
14,Matt Forte,9.9,ESPN,1,2015
15,Frank Gore,9.5,ESPN,1,2015
16,Justin Forsett,9.4,ESPN,1,2015
17,Benjamin Cunningham,9.3,ESPN,1,2015
18,Tevin Coleman,9.3,ESPN,1,2015
19,Isaiah Crowell,9.2,ESPN,1,2015
20,Alfred Blue,9.2,ESPN,1,2015
21,Latavius Murray,9.2,ESPN,1,2015
22,Doug Martin,9.1,ESPN,1,2015
23,Melvin Gordon,8.9,ESPN,1,2015
24,Dion Lewis,8.6,ESPN,1,2015
25,DeAngelo Williams,8.6,ESPN,1,2015
26,Alfred Morris,8.3,ESPN,1,2015
27,T.J. Yeldon,8.3,ESPN,1,2015
28,Rashad Jennings,7.8,ESPN,1,2015
29,Ameer Abdullah,7.8,ESPN,1,2015
30,Giovani Bernard,7.3,ESPN,1,2015
31,Devonta Freeman,7.1,ESPN,1,2015
32,Joique Bell,7,ESPN,1,2015
33,Darren McFadden,6.6,ESPN,1,2015
34,Duke Johnson Jr.,6.5,ESPN,1,2015
35,Brandon Bolden,6,ESPN,1,2015
36,Bishop Sankey,5.8,ESPN,1,2015
37,Shane Vereen,5.8,ESPN,1,2015
38,Danny Woodhead,5.7,ESPN,1,2015
39,Ryan Mathews,5.5,ESPN,1,2015
40,Reggie Bush,5,ESPN,1,2015
41,Ronnie Hillman,4.5,ESPN,1,2015
42,Matt Jones,4.4,ESPN,1,2015
43,Bilal Powell,4.3,ESPN,1,2015
44,Javorius Allen,4.3,ESPN,1,2015
45,Darren Sproles,4.3,ESPN,1,2015
46,Lance Dunbar,4.3,ESPN,1,2015
47,Chris Johnson,4.3,ESPN,1,2015
48,Denard Robinson,4.2,ESPN,1,2015
49,Khiry Robinson,4.2,ESPN,1,2015
50,Charles Sims,3.9,ESPN,1,2015
51,James White,3.9,ESPN,1,2015
52,Jonathan Grimes,3.9,ESPN,1,2015
53,Knile Davis,3.6,ESPN,1,2015
54,David Johnson,3.5,ESPN,1,2015
55,Andre Williams,3.2,ESPN,1,2015
56,Mike Tolbert,3.2,ESPN,1,2015
57,Chase Reynolds,3,ESPN,1,2015
58,Josh Robinson,3,ESPN,1,2015
59,Marcus Murphy,2.8,ESPN,1,2015
60,Roy Helu,2.7,ESPN,1,2015
61,Jerick McKinnon,2.7,ESPN,1,2015
62,Will Johnson,2.1,ESPN,1,2015
63,Damien Williams,2,ESPN,1,2015
64,Fred Jackson,2,ESPN,1,2015
65,Karlos Williams,2,ESPN,1,2015
66,Antonio Andrews,1.9,ESPN,1,2015
67,Juwan Thompson,1.9,ESPN,1,2015
68,James Starks,1.8,ESPN,1,2015
69,Chris Polk,1.7,ESPN,1,2015
70,Dri Archer,1.7,ESPN,1,2015
71,Matt Forte,14.7,ESPN,2,2015
72,Eddie Lacy,12.8,ESPN,2,2015
73,Adrian Peterson,12.6,ESPN,2,2015
74,DeMarco Murray,12.3,ESPN,2,2015
75,Jeremy Hill,12.1,ESPN,2,2015
76,Lamar Miller,12.1,ESPN,2,2015
77,Justin Forsett,12,ESPN,2,2015
78,Mark Ingram,11.8,ESPN,2,2015
79,Jamaal Charles,11.7,ESPN,2,2015
80,Marshawn Lynch,11.5,ESPN,2,2015
81,DeAngelo Williams,11.1,ESPN,2,2015
82,Carlos Hyde,10.7,ESPN,2,2015
83,Chris Ivory,10.5,ESPN,2,2015
84,Jonathan Stewart,10.4,ESPN,2,2015
85,Ameer Abdullah,10.3,ESPN,2,2015
86,Tevin Coleman,9.9,ESPN,2,2015
87,Frank Gore,9.9,ESPN,2,2015
88,Rashad Jennings,9.6,ESPN,2,2015
89,Alfred Morris,9.6,ESPN,2,2015
90,LeSean McCoy,9.5,ESPN,2,2015
91,C.J. Anderson,9.5,ESPN,2,2015
92,Chris Johnson,9.4,ESPN,2,2015
93,Isaiah Crowell,9.3,ESPN,2,2015
94,Latavius Murray,9.3,ESPN,2,2015
95,Tre Mason,9.2,ESPN,2,2015
96,Doug Martin,9.2,ESPN,2,2015
97,Bishop Sankey,8,ESPN,2,2015
98,T.J. Yeldon,8,ESPN,2,2015
99,LeGarrette Blount,7.9,ESPN,2,2015
100,Danny Woodhead,7.9,ESPN,2,2015
101,Melvin Gordon,7.4,ESPN,2,2015
102,Dion Lewis,7.2,ESPN,2,2015
103,Giovani Bernard,7.1,ESPN,2,2015
104,Devonta Freeman,6.7,ESPN,2,2015
105,Benjamin Cunningham,6.6,ESPN,2,2015
106,Alfred Blue,6.5,ESPN,2,2015
107,David Johnson,6.3,ESPN,2,2015
108,Khiry Robinson,6.1,ESPN,2,2015
109,Joique Bell,5.8,ESPN,2,2015
110,Darren Sproles,5.8,ESPN,2,2015
111,Ronnie Hillman,5.8,ESPN,2,2015
112,Shane Vereen,5.8,ESPN,2,2015
113,Duke Johnson Jr.,5.5,ESPN,2,2015
114,Bilal Powell,5.3,ESPN,2,2015
115,Darren McFadden,4.7,ESPN,2,2015
116,Josh Robinson,4.5,ESPN,2,2015
117,C.J. Spiller,4.4,ESPN,2,2015
118,Ryan Mathews,4.3,ESPN,2,2015
119,Lance Dunbar,4.1,ESPN,2,2015
120,Charles Sims,3.9,ESPN,2,2015
121,Jonathan Grimes,3.8,ESPN,2,2015
122,Lorenzo Taliaferro,3.8,ESPN,2,2015
123,Roy Helu,3.8,ESPN,2,2015
