DateTime,Favorite,Spread,Underdog,Total,Money_Odds,Week,Year,Month,Weekday,Favorite_Abbr,Underdog_Abbr
9/10/15 20:30,At New England,-7,Pittsburgh,51,-$350 +$290,1,2015,9,Thu,NE,PIT
9/14/15 19:10,Philadelphia,-3,At Atlanta,56,-$185 +$165,1,2015,9,Mon,PHI,ATL
9/14/15 22:20,Minnesota,-2.5,At San Francisco,42.5,-$145 +$125,1,2015,9,Mon,MIN,SF
9/13/15 13:00,Green Bay,-6.5,At Chicago,48.5,-$290 +$245,1,2015,9,Sun,GB,CHI
9/13/15 13:00,Kansas City,-1,At Houston,40.5,-$115 -$105,1,2015,9,Sun,KC,HOU
9/13/15 13:00,At NY Jets,-3.5,Cleveland,38.5,-$190 +$170,1,2015,9,Sun,NYJ,CLE
9/13/15 13:00,Indianapolis,-1,At Buffalo,44.5,-$120 +$100,1,2015,9,Sun,IND,BUF
9/13/15 13:00,Miami,-4,At Washington,45.5,-$210 +$180,1,2015,9,Sun,MIA,WAS
9/13/15 13:00,Carolina,-3,At Jacksonville,41,-$150 +$130,1,2015,9,Sun,CAR,JAC
9/13/15 13:00,Seattle,-3.5,At St. Louis,41,-$185 +$165,1,2015,9,Sun,SEA,STL
9/13/15 16:05,At Arizona,-2.5,New Orleans,48.5,-$135 +$115,1,2015,9,Sun,ARI,NO
9/13/15 16:05,At San Diego,-3.5,Detroit,45.5,-$185 +$165,1,2015,9,Sun,SD,DET
9/13/15 16:25,At Tampa Bay,-3,Tennessee,40.5,-$145 +$125,1,2015,9,Sun,TB,TEN
9/13/15 16:25,Cincinnati,-3,At Oakland,43,-$155 +$135,1,2015,9,Sun,CIN,OAK
9/13/15 16:25,At Denver,-4.5,Baltimore,46.5,-$230 +$190,1,2015,9,Sun,DEN,BAL
9/13/15 20:30,At Dallas,-7,NY Giants,52.5,-$320 +$260,1,2015,9,Sun,DAL,NYG
9/17/15 20:25,At Kansas City,-3,Denver,42,-$165 +$145,2,2015,9,Thu,KC,DEN
9/21/15 20:30,At Indianapolis,-6,NY Jets,46,-$265 +$225,2,2015,9,Mon,IND,NYJ
9/20/15 13:00,At Carolina,-3,Houston,41,-$145 +$125,2,2015,9,Sun,CAR,HOU
9/20/15 13:00,At New Orleans,-9,Tampa Bay,47,-$475 +$375,2,2015,9,Sun,NO,TB
9/20/15 13:00,At Pittsburgh,-6,San Francisco,46,-$255 +$215,2,2015,9,Sun,PIT,SF
9/20/15 13:00,At Minnesota,-2.5,Detroit,44,-$145 +$125,2,2015,9,Sun,MIN,DET
9/20/15 13:00,At Buffalo,-1,New England,44.5,-$120 +$100,2,2015,9,Sun,BUF,NE
9/20/15 13:00,Arizona,-2,At Chicago,46,-$130 +$110,2,2015,9,Sun,ARI,CHI
9/20/15 13:00,Tennessee,-1,At Cleveland,41,-$115 -$105,2,2015,9,Sun,TEN,CLE
9/20/15 13:00,At Cincinnati,-3.5,San Diego,48,-$180 +$160,2,2015,9,Sun,CIN,SD
9/20/15 13:00,St. Louis,-3,At Washington,41,-$175 +$155,2,2015,9,Sun,STL,WAS
9/20/15 13:00,At NY Giants,-2,Atlanta,50,-$130 +$110,2,2015,9,Sun,NYG,ATL
9/20/15 16:05,Baltimore,-6,At Oakland,42,-$260 +$220,2,2015,9,Sun,BAL,OAK
9/20/15 16:05,Miami,-6,At Jacksonville,42,-$260 +$220,2,2015,9,Sun,MIA,JAC
9/20/15 16:25,At Philadelphia,-6.5,Dallas,54,-$280 +$240,2,2015,9,Sun,PHI,DAL
9/20/15 20:30,At Green Bay,-3,Seattle,49.5,-$180 +$160,2,2015,9,Sun,GB,SEA
9/24/15 20:25,At NY Giants,-3,Washington,45,-$165 +$145,3,2015,9,Thu,NYG,WAS
9/28/15 20:30,At Green Bay,-5.5,Kansas City,47.5,-$240 +$200,3,2015,9,Mon,GB,KC
9/27/15 13:00,At St. Louis,-1,Pittsburgh,48.5,-$120 +$100,3,2015,9,Sun,STL,PIT
9/27/15 13:00,At Minnesota,-2,San Diego,45.5,-$135 +$115,3,2015,9,Sun,MIN,SD
9/27/15 13:00,At Houston,-6,Tampa Bay,41,-$260 +$220,3,2015,9,Sun,HOU,TB
9/27/15 13:00,At NY Jets,-3,Philadelphia,47,-$170 +$150,3,2015,9,Sun,NYJ,PHI
9/27/15 13:00,At Carolina,-9.5,New Orleans,43,-$450 +$350,3,2015,9,Sun,CAR,NO
9/27/15 13:00,At New England,-14,Jacksonville,49,-$1400 +$800,3,2015,9,Sun,NE,JAC
9/27/15 13:00,At Baltimore,-1.5,Cincinnati,45.5,-$125 +$105,3,2015,9,Sun,BAL,CIN
9/27/15 13:00,At Cleveland,-3.5,Oakland,44,-$180 +$160,3,2015,9,Sun,CLE,OAK
9/27/15 13:00,Indianapolis,-3.5,At Tennessee,46.5,-$185 +$165,3,2015,9,Sun,IND,TEN
9/27/15 13:00,At Dallas,0,Atlanta,43.5,-$110 -$110,3,2015,9,Sun,DAL,ATL
9/27/15 16:05,At Arizona,-7,San Francisco,45,-$315 +$260,3,2015,9,Sun,ARI,SF
9/27/15 16:25,At Seattle,-16.5,Chicago,43.5,-$2400 +$1100,3,2015,9,Sun,SEA,CHI
9/27/15 16:25,At Miami,-1,Buffalo,43.5,-$120 +$100,3,2015,9,Sun,MIA,BUF
9/27/15 20:30,Denver,-3,At Detroit,45,-$155 +$135,3,2015,9,Sun,DEN,DET
10/1/15 20:25,Baltimore,-3,At Pittsburgh,44,-$150 +$130,4,2015,10,Thu,BAL,PIT
10/5/15 20:30,At Seattle,-10,Detroit,43,-$575 +$425,4,2015,10,Mon,SEA,DET
10/4/15 9:30,NY Jets,-2.5,Miami,42.5,-$145 +$125,4,2015,10,Sun,NYJ,MIA
10/4/15 13:00,At Indianapolis,-4,Jacksonville,43.5,-$200 +$170,4,2015,10,Sun,IND,JAC
10/4/15 13:00,At Atlanta,-4.5,Houston,47.5,-$220 +$180,4,2015,10,Sun,ATL,HOU
10/4/15 13:00,Carolina,-3,At Tampa Bay,40.5,-$160 +$140,4,2015,10,Sun,CAR,TB
10/4/15 13:00,At Buffalo,-6,NY Giants,46.5,-$265 +$225,4,2015,10,Sun,BUF,NYG
10/4/15 13:00,Oakland,-3,At Chicago,44.5,-$175 +$155,4,2015,10,Sun,OAK,CHI
10/4/15 13:00,Philadelphia,-3,At Washington,45.5,-$155 +$135,4,2015,10,Sun,PHI,WAS
10/4/15 13:00,At Cincinnati,-3.5,Kansas City,45,-$175 +$155,4,2015,10,Sun,CIN,KC
10/4/15 16:05,At San Diego,-5,Cleveland,44.5,-$240 +$200,4,2015,10,Sun,SD,CLE
10/4/15 16:25,Green Bay,-7.5,At San Francisco,48,-$360 +$300,4,2015,10,Sun,GB,SF
10/4/15 16:25,At Denver,-7,Minnesota,43.5,-$315 +$265,4,2015,10,Sun,DEN,MIN
10/4/15 16:25,At Arizona,-7,St. Louis,43.5,-$320 +$270,4,2015,10,Sun,ARI,STL
10/4/15 20:30,At New Orleans,-3,Dallas,48.5,-$155 +$135,4,2015,10,Sun,NO,DAL
10/8/15 20:25,At Houston,-5,Indianapolis,41,-$240 +$200,5,2015,10,Thu,HOU,IND
10/12/15 20:30,At San Diego,-4,Pittsburgh,45.5,-$210 +$180,5,2015,10,Mon,SD,PIT
10/11/15 13:00,At Tampa Bay,-1,Jacksonville,41.5,-$120 +$100,5,2015,10,Sun,TB,JAC
10/11/15 13:00,Buffalo,-1,At Tennessee,43,-$115 -$105,5,2015,10,Sun,BUF,TEN
10/11/15 13:00,At Baltimore,-6.5,Cleveland,43,-$280 +$240,5,2015,10,Sun,BAL,CLE
10/11/15 13:00,At Atlanta,-7,Washington,48.5,-$320 +$260,5,2015,10,Sun,ATL,WAS
10/11/15 13:00,At Kansas City,-9.5,Chicago,44.5,-$475 +$375,5,2015,10,Sun,KC,CHI
10/11/15 13:00,At Philadelphia,-6.5,New Orleans,49.5,-$275 +$235,5,2015,10,Sun,PHI,NO
10/11/15 13:00,At Green Bay,-9,St. Louis,46,-$460 +$360,5,2015,10,Sun,GB,STL
10/11/15 13:00,At Cincinnati,-3,Seattle,44.5,-$170 +$150,5,2015,10,Sun,CIN,SEA
10/11/15 16:05,Arizona,-4.5,At Detroit,46,-$215 +$185,5,2015,10,Sun,ARI,DET
10/11/15 16:25,New England,-8.5,At Dallas,50.5,-$420 +$350,5,2015,10,Sun,NE,DAL
10/11/15 16:25,Denver,-5.5,At Oakland,45,-$250 +$210,5,2015,10,Sun,DEN,OAK
10/11/15 20:30,At NY Giants,-7.5,San Francisco,44,-$360 +$300,5,2015,10,Sun,NYG,SF
10/15/15 20:25,Atlanta,-3,At New Orleans,52.5,-$165 +$145,6,2015,10,Thu,ATL,NO
10/19/15 20:30,At Philadelphia,-3.5,NY Giants,50.5,-$195 +$170,6,2015,10,Mon,PHI,NYG
10/18/15 13:00,Denver,-3.5,At Cleveland,42,-$170 +$150,6,2015,10,Sun,DEN,CLE
10/18/15 13:00,Cincinnati,-3,At Buffalo,42,-$160 +$140,6,2015,10,Sun,CIN,BUF
10/18/15 13:00,At Minnesota,-3.5,Kansas City,43,-$180 +$160,6,2015,10,Sun,MIN,KC
10/18/15 13:00,At Jacksonville,-3,Houston,43,-$150 +$130,6,2015,10,Sun,JAC,HOU
10/18/15 13:00,At Detroit,-3.5,Chicago,45.5,-$195 +$170,6,2015,10,Sun,DET,CHI
10/18/15 13:00,At NY Jets,-7.5,Washington,40,-$370 +$310,6,2015,10,Sun,NYJ,WAS
10/18/15 13:00,Arizona,-5.5,At Pittsburgh,45,-$250 +$210,6,2015,10,Sun,ARI,PIT
10/18/15 13:00,At Tennessee,-2.5,Miami,43.5,-$140 +$120,6,2015,10,Sun,TEN,MIA
10/18/15 16:05,At Seattle,-7,Carolina,41,-$325 +$270,6,2015,10,Sun,SEA,CAR
10/18/15 16:25,At Green Bay,-10.5,San Diego,50.5,-$600 +$450,6,2015,10,Sun,GB,SD
10/18/15 16:25,Baltimore,-2.5,At San Francisco,43.5,-$145 +$125,6,2015,10,Sun,BAL,SF
10/18/15 20:30,New England,-9,At Indianapolis,54,-$390 +$320,6,2015,10,Sun,NE,IND
10/22/15 20:25,Seattle,-6.5,At San Francisco,42,-$300 +$250,7,2015,10,Thu,SEA,SF
10/26/15 20:30,At Arizona,-10,Baltimore,49.5,-$500 +$400,7,2015,10,Mon,ARI,BAL
10/25/15 9:30,Buffalo,-3.5,Jacksonville,41.5,-$185 +$165,7,2015,10,Sun,BUF,JAC
10/25/15 13:00,At St. Louis,-6,Cleveland,44,-$265 +$225,7,2015,10,Sun,STL,CLE
10/25/15 13:00,At Kansas City,-3.5,Pittsburgh,41.5,-$185 +$165,7,2015,10,Sun,KC,PIT
10/25/15 13:00,At Miami,-4.5,Houston,45.5,-$220 +$185,7,2015,10,Sun,MIA,HOU
10/25/15 13:00,At New England,-7,NY Jets,47.5,-$325 +$265,7,2015,10,Sun,NE,NYJ
10/25/15 13:00,At Detroit,-1,Minnesota,45,-$120 +$100,7,2015,10,Sun,DET,MIN
10/25/15 13:00,Atlanta,-6,At Tennessee,45.5,-$250 +$210,7,2015,10,Sun,ATL,TEN
10/25/15 13:00,At Washington,-3,Tampa Bay,41.5,-$155 +$135,7,2015,10,Sun,WAS,TB
10/25/15 13:00,At Indianapolis,-5,New Orleans,53,-$240 +$200,7,2015,10,Sun,IND,NO
10/25/15 16:05,At San Diego,-3.5,Oakland,48.5,-$185 +$165,7,2015,10,Sun,SD,OAK
10/25/15 16:25,At NY Giants,-3,Dallas,44.5,-$160 +$140,7,2015,10,Sun,NYG,DAL
10/25/15 20:30,At Carolina,-2.5,Philadelphia,46,-$140 +$120,7,2015,10,Sun,CAR,PHI
10/29/15 20:25,At New England,-8,Miami,51.5,-$450 +$350,8,2015,10,Thu,NE,MIA
11/1/15 9:30,Kansas City,-3,Detroit,45,-$170 +$150,8,2015,11,Sun,KC,DET
